code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
PATL11,Híbrido,"R$ 60,17",6184.0,"R$ 0,60","0,97%","2,79%","-1,42%","0,61","0,00%","0,00%"
PLCA11,,"R$ 88,00",425.0,"R$ 1,12","1,29%","3,59%","-9,64%",N/A,N/A,N/A
PLCR11,Híbrido,"R$ 82,60",2866.0,"R$ 1,00","1,21%","3,57%","-1,61%","0,91",N/A,N/A
PLOG11,Logística,"R$ 68,51",1533.0,"R$ 0,70","1,01%","3,10%","-3,36%","0,64","20,40%",N/A
PLRI11,Títulos e Val. Mob.,"R$ 21,17",570.0,"R$ 0,11","0,49%","1,57%","-6,60%","0,65",N/A,N/A
PORD11,Títulos e Val. Mob.,"R$ 82,81",4281.0,"R$ 1,00","1,22%","3,64%","-7,10%","0,84",N/A,N/A
PQAG11,Logística,"R$ 50,00",251.0,"R$ 0,44","0,86%","2,51%","-3,79%","0,87","0,00%",N/A
PQDP11,Shoppings,"R$ 1.740,00",86.0,"R$ 25,60","1,51%","2,86%","-17,37%","0,52","3,60%",N/A
PRSV11,Lajes Corporativas,"R$ 100,00",9.0,"R$ 1,62","0,42%","4,46%","5,30%","0,46","40,90%",N/A
PVBI11,Lajes Corporativas,"R$ 91,85",16663.0,"R$ 0,61","0,69%","2,12%","3,56%","0,89","0,10%",N/A
QAGR11,Outros,"R$ 41,35",4158.0,"R$ 0,42","1,02%","3,01%","-2,66%","0,74",N/A,N/A
QAMI11,Híbrido,"R$ 74,99",37.0,"R$ 0,85","1,09%","3,40%","-2,06%","0,82",N/A,N/A
QIRI11,Títulos e Val. Mob.,"R$ 78,04",39.0,"R$ 89,64","114,86%","121,86%","1,48%","0,87",N/A,N/A
RBDS11,Residencial,"R$ 3,48",2.0,"R$ 0,00","0,00%","0,00%","0,00%","0,17",N/A,N/A
RBED11,Outros,"R$ 120,54",939.0,"R$ 1,26","1,04%","3,12%","-1,50%","0,84","0,00%",N/A
RBFF11,Títulos e Val. Mob.,"R$ 47,35",4344.0,"R$ 0,49","1,05%","2,98%","-8,28%","0,74",N/A,N/A
RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","5,12%","-1,90%","0,31","13,00%",N/A
RBHG11,Títulos e Val. Mob.,"R$ 80,34",1119.0,"R$ 1,05","1,28%","3,72%","-1,78%","0,87",N/A,N/A
RBHY11,Títulos e Val. Mob.,"R$ 90,65",652.0,"R$ 1,20","1,30%","3,79%","-3,17%","0,96",N/A,N/A
RBIF11,Renda,"R$ 94,02",2.0,"R$ 0,34","0,34%","0,34%","0,00%",N/A,N/A,N/A
RBIR11,Residencial,"R$ 63,68",291.0,"R$ 0,46","0,76%","0,76%","0,00%","0,67",N/A,N/A
